dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,deconstruct,,CLAUSIFIED,922,349.789,,0.000,1336.675,,,,,1022,13,4218,2343304,4967,863,923,true,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,deconstruct,,CLAUSIFIED,555,340.304,,0.000,1055.679,,,,,655,13,2755,1533643,4554,869,556,true,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,deconstruct,,CLAUSIFIED,4,115.155,,0.000,85.743,,,,,12,2,140,21983,476,388,5,true,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,deconstruct,,CLAUSIFIED,4,128.299,,0.000,84.312,,,,,5,5,128,31261,402,559,5,true,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,deconstruct,,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,deconstruct,,CLAUSIFIED,10,119.954,,0.000,72.188,,,,,15,3,164,14828,574,230,11,true,false,
casc-j13-fof,Problems/COM/COM008+2.p,deconstruct,,CLAUSIFIED,8,123.039,,0.000,80.388,,,,,13,3,147,13810,539,230,9,true,false,
casc-j13-fof,Problems/COM/COM131+1.p,deconstruct,,CLAUSIFIED,59,810.824,,0.000,8021.360,,,,,157,95,2795,12771096,18050,10061,60,true,false,
casc-j13-fof,Problems/COM/COM136+1.p,deconstruct,,CLAUSIFIED,56,765.742,,0.000,7798.860,,,,,152,94,2736,12215506,17481,9820,57,true,false,
casc-j13-fof,Problems/COM/COM139+1.p,deconstruct,,CLAUSIFIED,55,792.252,,0.000,7964.343,,,,,152,94,2724,12246854,17397,9862,56,true,false,
casc-j13-fof,Problems/CSR/CSR005+2.p,deconstruct,,CLAUSIFIED,55,244.820,,0.000,706.360,,,,,120,18,965,479932,4219,1294,56,true,false,
casc-j13-fof,Problems/CSR/CSR021+1.p,deconstruct,,CLAUSIFIED,47,315.061,,0.000,892.606,,,,,137,21,979,600971,4418,1464,48,true,false,
casc-j13-fof,Problems/CSR/CSR022+1.p,deconstruct,,CLAUSIFIED,47,244.204,,0.000,833.300,,,,,137,21,979,600971,4418,1464,48,true,false,
casc-j13-fof,Problems/CSR/CSR025+5.p,deconstruct,,SKIPPED,540249,0.000,,,,,,,,,,,,,,,,false,|F|=6489227 > 50000
casc-j13-fof,Problems/CSR/CSR030+3.p,deconstruct,,SKIPPED,8005,0.000,,,,,,,,,,,,,,,,false,|F|=95315 > 50000
