dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,baseline,balanced,TIMEOUT,205.101,498.937,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,baseline,balanced,TIMEOUT,183.348,581.681,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,baseline,balanced,REFUTED,180.152,360.989,27.232,99.161,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,baseline,balanced,TIMEOUT,154.427,20086.330,0.000,,569,2477679,494,2474693,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,baseline,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,baseline,balanced,TIMEOUT,130.483,1243.341,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,baseline,balanced,TIMEOUT,126.481,1008.741,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,baseline,balanced,TIMEOUT,305.903,1224.821,0.000,,2000,114255,1905,111069,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,baseline,balanced,TIMEOUT,324.394,1717.376,0.000,,2000,206719,1953,203799,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,baseline,balanced,TIMEOUT,310.754,1026.880,0.000,,2000,105445,1924,102481,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,fwdsubs-off,balanced,TIMEOUT,190.128,350.362,0.000,,2000,3347,1338,1347,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,fwdsubs-off,balanced,TIMEOUT,174.322,430.186,0.000,,2000,19508,1552,17508,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,fwdsubs-off,balanced,TIMEOUT,131.196,584.538,0.000,,2000,106977,1096,104960,12,2,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,fwdsubs-off,balanced,TIMEOUT,137.876,4836.830,0.000,,2000,988790,176,986749,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,fwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,fwdsubs-off,balanced,TIMEOUT,129.349,546.100,0.000,,2000,51621,483,49621,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,fwdsubs-off,balanced,TIMEOUT,144.189,651.086,0.000,,2000,82850,534,80850,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,fwdsubs-off,balanced,TIMEOUT,469.610,630.539,0.000,,2000,73137,800,71121,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,fwdsubs-off,balanced,TIMEOUT,337.258,520.236,0.000,,2000,33737,801,31703,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,fwdsubs-off,balanced,TIMEOUT,361.184,478.993,0.000,,2000,46683,781,44660,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,bwdsubs-off,balanced,TIMEOUT,236.095,509.152,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
